date,close,volume,open,high,low
2018/12/11,168.63,45968040,171.66,171.79,167
2018/12/10,169.6,61759000,165,170.09,163.33
2018/12/07,168.49,41678680,173.49,174.49,168.3
2018/12/06,174.72,42704910,171.76,174.78,170.42
2018/12/04,176.69,41141250,180.95,182.3899,176.27
2018/12/03,184.82,40537700,184.46,184.94,181.21
2018/11/30,178.58,39424260,180.29,180.33,177.03
2018/11/29,179.55,41523580,182.66,182.8,177.7
2018/11/28,180.94,45941750,176.73,181.29,174.93
2018/11/27,174.24,41156140,171.51,174.77,170.88
2018/11/26,174.62,44662320,174.24,174.95,170.26
2018/11/23,172.29,23623970,174.94,176.595,172.1
2018/11/21,176.78,31096240,179.73,180.27,176.55
2018/11/20,176.98,67678680,178.37,181.47,175.51
2018/11/19,185.86,41626820,190,190.7,184.99
2018/11/16,193.53,36191330,190.5,194.9695,189.46
2018/11/15,191.41,46271660,188.39,191.97,186.9
2018/11/14,186.8,60547340,193.9,194.48,185.93
2018/11/13,192.23,46725710,191.63,197.18,191.4501
2018/11/12,194.17,50991030,199,199.85,193.79
2018/11/09,204.47,34317760,205.55,206.01,202.25
2018/11/08,208.49,25289270,209.98,210.12,206.75
2018/11/07,209.95,33291640,205.97,210.06,204.13
2018/11/06,203.77,31774720,201.92,204.72,201.69
2018/11/05,201.59,66072170,204.3,204.39,198.17
2018/11/02,207.48,91046560,209.55,213.65,205.43
2018/11/01,222.22,52954070,219.05,222.36,216.81
2018/10/31,218.86,38016810,216.88,220.45,216.62
2018/10/30,213.3,36487930,211.15,215.18,209.27
2018/10/29,212.24,45713690,219.19,219.69,206.09
2018/10/26,216.3,47191700,215.9,220.19,212.67
2018/10/25,219.8,29027340,217.71,221.38,216.75
2018/10/24,215.09,39992120,222.6,224.23,214.54
2018/10/23,222.73,38681170,215.83,223.25,214.7
2018/10/22,220.65,28751540,219.79,223.36,218.94
2018/10/19,219.31,32874330,218.06,221.26,217.43
2018/10/18,216.02,32389280,217.86,219.74,213
2018/10/17,221.19,22692880,222.3,222.64,219.34
2018/10/16,222.15,28802550,218.93,222.99,216.7627
2018/10/15,217.36,30280450,221.16,221.83,217.27
2018/10/12,222.11,39494770,220.42,222.88,216.84
2018/10/11,214.45,52902320,214.52,219.5,212.32
2018/10/10,216.36,41084070,225.46,226.35,216.05
2018/10/09,226.87,26656630,223.64,227.27,222.2462
2018/10/08,223.77,28784550,222.21,224.8,220.2
2018/10/05,224.29,33507770,227.96,228.41,220.58
2018/10/04,227.99,31961120,230.78,232.35,226.73
2018/10/03,232.07,28540490,230.05,233.47,229.78
2018/10/02,229.28,24435010,227.25,230,226.63
2018/10/01,227.26,23171020,227.95,229.42,226.35
2018/09/28,225.74,22560440,224.79,225.84,224.02
2018/09/27,224.95,29729270,223.82,226.44,223.54
2018/09/26,220.42,23430370,221,223.75,219.76
2018/09/25,222.19,22811140,219.75,222.82,219.7
2018/09/24,220.79,27581270,216.82,221.26,216.63
2018/09/21,217.66,95584080,220.78,221.36,217.29
2018/09/20,220.03,26388050,220.24,222.28,219.15
2018/09/19,218.37,26869880,218.5,219.62,215.3
2018/09/18,218.24,31495630,217.79,221.85,217.12
2018/09/17,217.88,36810120,222.15,222.95,217.27
2018/09/14,223.84,31801970,225.75,226.84,222.522
2018/09/13,226.41,41411350,223.52,228.35,222.57
2018/09/12,221.07,49118510,224.94,225,219.84
2018/09/11,223.85,35644510,218.01,224.299,216.56
2018/09/10,218.33,39194720,220.95,221.85,216.47
2018/09/07,221.3,37418910,221.85,225.37,220.71
2018/09/06,223.1,34121240,226.23,227.35,221.3
2018/09/05,226.87,33290830,228.99,229.67,225.1
2018/09/04,228.36,27363960,228.41,229.18,226.63
2018/08/31,227.63,43177540,226.51,228.87,226
2018/08/30,225.03,48696960,223.25,228.26,222.4
2018/08/29,222.98,27074260,220.15,223.49,219.41
2018/08/28,219.7,22751390,219.01,220.54,218.92
2018/08/27,217.94,20400770,217.15,218.74,216.33
2018/08/24,216.16,18457720,216.6,216.9,215.11
2018/08/23,215.49,18505780,214.65,217.05,214.6
2018/08/22,215.05,18965930,214.1,216.36,213.84
